500 1000
1 2 1
2 3 7
3 4 9
4 5 8
5 6 5
6 7 10
7 8 2
8 9 6
9 10 10
10 11 7
11 12 1
12 13 10
13 14 9
14 15 8
15 16 1
16 17 10
17 18 8
18 19 1
19 20 6
20 21 2
21 22 1
22 23 4
23 24 2
24 25 3
25 26 9
26 27 9
27 28 4
28 29 2
29 30 9
30 31 2
31 32 10
32 33 10
33 34 7
34 35 2
35 36 3
36 37 1
37 38 2
38 39 6
39 40 9
40 41 2
41 42 8
42 43 3
43 44 5
44 45 5
45 46 7
46 47 9
47 48 4
48 49 9
49 50 6
50 51 8
51 52 3
52 53 8
53 54 10
54 55 9
55 56 2
56 57 1
57 58 7
58 59 7
59 60 10
60 61 9
61 62 10
62 63 6
63 64 8
64 65 5
65 66 2
66 67 1
67 68 2
68 69 2
69 70 6
70 71 6
71 72 3
72 73 10
73 74 6
74 75 9
75 76 9
76 77 7
77 78 1
78 79 5
79 80 5
80 81 6
81 82 2
82 83 9
83 84 1
84 85 9
85 86 3
86 87 4
87 88 9
88 89 9
89 90 8
90 91 5
91 92 9
92 93 1
93 94 10
94 95 3
95 96 9
96 97 10
97 98 9
98 99 10
99 100 7
100 101 5
101 102 7
102 103 7
103 104 4
104 105 2
105 106 10
106 107 8
107 108 10
108 109 8
109 110 5
110 111 10
111 112 3
112 113 4
113 114 4
114 115 1
115 116 5
116 117 7
117 118 10
118 119 1
119 120 5
120 121 2
121 122 1
122 123 6
123 124 8
124 125 8
125 126 10
126 127 1
127 128 8
128 129 10
129 130 6
130 131 7
131 132 10
132 133 7
133 134 1
134 135 2
135 136 10
136 137 10
137 138 1
138 139 10
139 140 9
140 141 7
141 142 3
142 143 3
143 144 4
144 145 5
145 146 8
146 147 3
147 148 1
148 149 7
149 150 6
150 151 2
151 152 10
152 153 7
153 154 2
154 155 1
155 156 2
156 157 3
157 158 7
158 159 4
159 160 1
160 161 2
161 162 4
162 163 5
163 164 7
164 165 6
165 166 3
166 167 6
167 168 7
168 169 5
169 170 8
170 171 4
171 172 2
172 173 4
173 174 6
174 175 2
175 176 6
176 177 2
177 178 9
178 179 2
179 180 8
180 181 9
181 182 1
182 183 10
183 184 10
184 185 9
185 186 2
186 187 1
187 188 2
188 189 2
189 190 1
190 191 3
191 192 2
192 193 6
193 194 6
194 195 9
195 196 1
196 197 10
197 198 5
198 199 3
199 200 9
200 201 1
201 202 3
202 203 9
203 204 2
204 205 6
205 206 2
206 207 3
207 208 5
208 209 4
209 210 4
210 211 2
211 212 7
212 213 5
213 214 7
214 215 1
215 216 1
216 217 1
217 218 8
218 219 8
219 220 1
220 221 10
221 222 10
222 223 7
223 224 5
224 225 7
225 226 8
226 227 8
227 228 7
228 229 5
229 230 4
230 231 10
231 232 6
232 233 3
233 234 9
234 235 4
235 236 7
236 237 6
237 238 7
238 239 5
239 240 3
240 241 3
241 242 10
242 243 4
243 244 3
244 245 3
245 246 5
246 247 9
247 248 9
248 249 2
249 250 8
250 251 5
251 252 6
252 253 8
253 254 3
254 255 2
255 256 6
256 257 10
257 258 4
258 259 2
259 260 6
260 261 7
261 262 8
262 263 2
263 264 3
264 265 1
265 266 9
266 267 3
267 268 10
268 269 4
269 270 4
270 271 8
271 272 2
272 273 6
273 274 1
274 275 1
275 276 6
276 277 7
277 278 9
278 279 1
279 280 1
280 281 5
281 282 7
282 283 9
283 284 10
284 285 9
285 286 2
286 287 6
287 288 7
288 289 2
289 290 9
290 291 3
291 292 1
292 293 1
293 294 3
294 295 9
295 296 6
296 297 5
297 298 1
298 299 10
299 300 1
300 301 10
301 302 8
302 303 4
303 304 10
304 305 3
305 306 3
306 307 9
307 308 9
308 309 6
309 310 8
310 311 5
311 312 3
312 313 4
313 314 5
314 315 8
315 316 6
316 317 6
317 318 3
318 319 1
319 320 10
320 321 6
321 322 2
322 323 1
323 324 10
324 325 2
325 326 10
326 327 7
327 328 6
328 329 8
329 330 1
330 331 9
331 332 3
332 333 5
333 334 7
334 335 5
335 336 7
336 337 10
337 338 9
338 339 9
339 340 1
340 341 8
341 342 5
342 343 3
343 344 6
344 345 2
345 346 2
346 347 3
347 348 3
348 349 9
349 350 7
350 351 1
351 352 3
352 353 9
353 354 1
354 355 7
355 356 7
356 357 4
357 358 4
358 359 5
359 360 9
360 361 6
361 362 2
362 363 5
363 364 9
364 365 3
365 366 7
366 367 7
367 368 7
368 369 5
369 370 9
370 371 6
371 372 3
372 373 7
373 374 9
374 375 2
375 376 8
376 377 10
377 378 8
378 379 3
379 380 10
380 381 3
381 382 9
382 383 7
383 384 7
384 385 7
385 386 5
386 387 1
387 388 7
388 389 8
389 390 9
390 391 3
391 392 9
392 393 2
393 394 5
394 395 2
395 396 10
396 397 6
397 398 6
398 399 3
399 400 3
400 401 10
401 402 8
402 403 5
403 404 6
404 405 1
405 406 3
406 407 4
407 408 6
408 409 4
409 410 5
410 411 4
411 412 5
412 413 4
413 414 3
414 415 1
415 416 6
416 417 1
417 418 6
418 419 8
419 420 3
420 421 1
421 422 5
422 423 3
423 424 1
424 425 10
425 426 6
426 427 8
427 428 5
428 429 2
429 430 5
430 431 10
431 432 4
432 433 6
433 434 9
434 435 6
435 436 3
436 437 10
437 438 2
438 439 3
439 440 8
440 441 5
441 442 5
442 443 1
443 444 9
444 445 8
445 446 3
446 447 9
447 448 5
448 449 8
449 450 5
450 451 2
451 452 10
452 453 3
453 454 7
454 455 3
455 456 1
456 457 5
457 458 10
458 459 10
459 460 3
460 461 9
461 462 3
462 463 4
463 464 10
464 465 7
465 466 8
466 467 1
467 468 9
468 469 3
469 470 6
470 471 10
471 472 9
472 473 7
473 474 9
474 475 9
475 476 6
476 477 5
477 478 4
478 479 10
479 480 10
480 481 3
481 482 7
482 483 4
483 484 6
484 485 7
485 486 3
486 487 7
487 488 7
488 489 2
489 490 9
490 491 7
491 492 7
492 493 1
493 494 4
494 495 1
495 496 10
496 497 8
497 498 8
498 499 5
499 500 7
46 225 4
398 80 4
180 255 8
272 430 9
45 196 1
476 144 10
480 389 3
204 100 2
428 212 1
184 420 9
171 198 3
245 56 9
239 199 1
354 285 6
247 471 4
172 159 9
28 238 2
396 293 10
204 327 7
22 216 3
44 204 8
115 182 10
159 125 3
40 305 10
203 134 6
214 93 6
137 80 5
217 151 1
481 467 1
219 344 9
239 383 3
152 215 3
413 472 2
265 80 9
78 160 9
468 426 7
353 25 10
103 427 4
78 332 2
19 254 3
183 487 7
35 161 1
324 399 8
419 498 3
84 383 9
111 102 1
378 271 1
313 147 2
486 101 8
489 73 5
404 115 1
358 141 5
123 93 4
158 149 10
186 495 1
248 11 1
125 82 8
268 34 9
292 390 9
437 195 4
9 460 5
234 461 4
381 315 6
71 366 8
345 397 4
110 400 5
76 166 6
495 319 6
126 498 2
454 180 7
424 491 1
240 363 2
451 44 9
235 461 4
492 122 8
40 362 7
148 37 9
93 362 8
296 145 10
414 24 3
239 468 10
169 351 8
51 270 6
191 183 7
121 392 1
238 144 10
25 32 1
467 485 2
369 217 7
31 248 6
86 461 4
489 206 6
127 152 2
217 256 9
473 480 8
51 78 3
178 35 1
71 241 6
211 477 1
110 244 10
431 58 2
325 314 7
315 121 5
369 319 10
49 191 3
462 479 3
358 323 9
470 216 10
128 198 8
241 299 8
70 334 8
500 211 8
252 348 2
202 215 9
304 305 3
379 18 7
383 91 3
53 127 8
483 66 10
420 59 1
128 263 5
403 357 8
422 494 2
169 384 1
86 374 9
488 84 7
59 50 3
218 493 10
124 87 1
109 375 9
282 126 10
147 226 6
55 86 4
351 43 4
85 351 7
189 334 7
422 219 6
479 449 7
406 147 3
232 416 6
66 144 9
104 109 1
252 245 5
219 110 3
27 42 5
446 381 10
463 445 5
52 261 7
454 321 6
357 130 9
136 138 8
299 436 3
317 405 2
363 311 3
89 482 6
141 216 8
142 327 4
439 63 8
413 362 9
489 232 2
272 439 8
415 80 7
383 274 1
190 353 7
328 477 9
300 239 3
500 285 7
58 395 3
43 480 4
208 278 4
240 482 3
344 32 8
348 204 3
194 42 6
256 1 3
477 437 2
50 12 8
247 305 9
462 485 8
184 467 4
120 99 5
303 87 10
65 441 1
307 366 4
449 124 6
221 386 4
399 78 1
476 406 2
399 57 2
32 491 7
5 483 8
349 293 9
417 153 6
422 346 10
90 293 4
452 377 6
258 406 1
126 370 5
77 291 3
494 215 9
324 25 10
28 274 9
98 247 1
209 487 8
305 386 3
172 332 2
124 179 10
494 27 7
120 13 8
145 379 6
133 358 5
125 75 9
229 78 1
63 89 10
265 334 3
230 163 9
356 441 4
4 49 5
112 386 2
310 178 9
483 426 2
141 392 4
380 446 6
270 30 9
11 292 7
277 291 7
104 208 10
247 425 8
448 330 2
139 53 8
304 83 7
105 287 1
214 286 1
36 400 2
245 18 5
39 122 3
470 306 6
53 490 1
240 233 1
410 123 10
233 189 10
427 414 6
16 276 6
395 398 2
200 414 6
45 408 9
41 2 6
86 258 4
432 245 9
190 478 4
357 211 1
71 143 9
157 7 3
112 281 7
61 335 10
327 173 8
155 308 1
373 180 4
380 229 10
457 386 2
364 41 8
193 168 8
352 394 2
117 32 6
469 196 5
399 74 3
410 483 5
6 401 3
191 495 6
280 349 1
169 163 8
68 43 5
226 224 10
129 468 7
367 447 8
436 440 2
371 39 9
473 488 4
189 193 5
216 287 10
375 123 6
464 63 8
464 331 9
367 78 7
257 252 5
383 2 9
221 65 8
58 385 4
140 478 6
1 305 4
390 41 9
10 4 7
241 98 8
211 198 10
150 155 10
228 81 10
412 78 5
70 482 9
228 258 5
159 151 7
496 250 7
75 399 6
179 344 7
129 198 10
226 431 5
53 456 9
307 296 6
94 497 10
36 360 2
56 439 3
316 478 10
320 211 3
229 36 6
197 182 5
419 392 2
207 431 1
494 328 4
484 400 1
252 72 2
45 202 3
58 417 4
339 470 1
166 64 4
328 434 10
10 183 4
417 435 9
326 463 3
204 441 3
115 340 4
296 254 5
459 67 4
241 89 6
289 139 7
436 68 8
162 73 4
389 269 9
442 357 10
356 493 4
246 433 7
212 380 9
485 99 9
472 490 5
399 469 9
277 84 3
1 191 9
417 121 10
201 260 4
286 497 3
90 149 2
6 394 3
189 305 9
45 281 9
222 93 5
315 195 5
248 3 3
157 69 3
168 174 10
302 407 7
124 153 9
382 258 9
455 474 8
83 316 7
171 298 6
92 374 7
74 418 8
369 223 1
441 485 1
132 50 7
405 274 5
412 85 6
14 467 10
35 70 6
412 162 3
450 87 3
10 239 2
461 480 2
203 92 6
69 157 1
335 93 5
313 69 10
463 117 6
240 61 4
281 104 2
137 480 10
163 158 1
490 152 5
436 188 1
144 229 9
359 448 3
180 375 6
191 250 6
33 8 4
495 209 10
59 253 9
492 203 2
193 359 1
435 366 9
353 284 8
273 321 9
358 431 8
200 335 9
145 478 9
54 379 10
322 250 6
494 46 6
14 481 1
301 400 1
290 22 6
180 311 8
73 326 6
203 93 8
46 398 2
474 13 5
412 116 7
76 200 5
379 389 8
282 149 2
199 377 6
279 97 9
413 361 4
460 345 1
494 51 3
191 433 3
312 29 2
395 228 3
49 185 2
238 418 9
435 164 1
360 497 3
388 48 8
233 121 4
318 247 3
294 255 7
14 277 8
230 471 5
97 217 10
139 478 6
173 29 9
491 499 9
485 233 1
175 24 1
452 477 2
14 402 3
23 97 8
447 96 2
309 439 4
97 457 7
17 295 2
18 485 5
323 342 2
123 160 6
265 166 7
301 316 8
456 182 3
30 380 4
26 290 5
500 283 6
325 16 10
442 15 6
298 425 10
172 421 4
137 234 2
447 24 8
485 173 10
355 482 9
64 426 7
94 41 8
188 411 3
283 144 5
425 142 6
20 205 2
189 284 5
393 68 3
171 383 2
365 290 10
384 186 6
426 144 5
455 207 7
373 121 8
320 450 8
96 394 2
350 358 3
166 66 7
107 80 6
174 430 4
386 156 4
158 175 5
100 340 7
393 226 3
6 446 1
163 282 2
234 57 7
289 479 7
202 134 2
200 390 5
143 148 5
24 224 10
186 429 10
462 83 9
492 432 2
90 390 9
1 500
