50 100
1 2 4
2 3 8
3 4 6
4 5 5
5 6 8
6 7 6
7 8 8
8 9 4
9 10 4
10 11 1
11 12 9
12 13 7
13 14 1
14 15 1
15 16 4
16 17 10
17 18 2
18 19 4
19 20 8
20 21 10
21 22 3
22 23 2
23 24 5
24 25 5
25 26 9
26 27 10
27 28 6
28 29 10
29 30 1
30 31 2
31 32 4
32 33 10
33 34 4
34 35 4
35 36 7
36 37 1
37 38 6
38 39 4
39 40 1
40 41 5
41 42 4
42 43 3
43 44 8
44 45 4
45 46 10
46 47 5
47 48 9
48 49 10
49 50 8
47 24 6
10 24 10
29 21 1
33 30 4
12 10 7
26 23 7
5 48 2
32 21 7
46 7 10
47 29 9
24 3 3
23 24 4
23 39 3
23 19 6
43 28 4
24 28 2
24 5 4
29 44 8
42 31 6
22 6 2
50 1 2
43 42 5
47 41 1
16 21 1
42 25 5
42 9 7
32 13 7
30 43 7
40 11 10
25 36 7
46 43 2
49 44 7
29 17 10
40 44 4
25 10 9
29 39 10
28 23 2
5 31 1
44 39 9
45 6 10
32 34 4
26 32 2
44 24 4
17 44 5
38 6 8
19 48 7
10 38 1
4 41 7
37 32 1
39 22 2
42 31 6
1 50
