300 89700
1 2 6
1 3 2
1 4 3
1 5 6
1 6 1
1 7 8
1 8 5
1 9 8
1 10 8
1 11 3
1 12 4
1 13 5
1 14 1
1 15 4
1 16 4
1 17 6
1 18 7
1 19 3
1 20 5
1 21 6
1 22 3
1 23 4
1 24 2
1 25 5
1 26 2
1 27 3
1 28 9
1 29 7
1 30 9
1 31 10
1 32 1
1 33 5
1 34 2
1 35 8
1 36 6
1 37 10
1 38 4
1 39 6
1 40 7
1 41 7
1 42 6
1 43 1
1 44 10
1 45 7
1 46 1
1 47 4
1 48 1
1 49 3
1 50 4
1 51 7
1 52 4
1 53 3
1 54 8
1 55 2
1 56 6
1 57 10
1 58 9
1 59 4
1 60 9
1 61 8
1 62 4
1 63 7
1 64 6
1 65 7
1 66 2
1 67 10
1 68 3
1 69 2
1 70 5
1 71 7
1 72 9
1 73 7
1 74 1
1 75 6
1 76 1
1 77 6
1 78 1
1 79 1
1 80 3
1 81 8
1 82 8
1 83 7
1 84 6
1 85 10
1 86 10
1 87 4
1 88 2
1 89 7
1 90 2
1 91 4
1 92 6
1 93 6
1 94 10
1 95 9
1 96 8
1 97 4
1 98 3
1 99 3
1 100 1
1 101 3
1 102 1
1 103 2
1 104 4
1 105 4
1 106 7
1 107 5
1 108 1
1 109 2
1 110 4
1 111 2
1 112 3
1 113 7
1 114 3
1 115 3
1 116 1
1 117 8
1 118 7
1 119 9
1 120 10
1 121 4
1 122 5
1 123 8
1 124 6
1 125 3
1 126 4
1 127 1
1 128 8
1 129 6
1 130 6
1 131 9
1 132 8
1 133 1
1 134 2
1 135 4
1 136 9
1 137 10
1 138 8
1 139 4
1 140 10
1 141 9
1 142 1
1 143 1
1 144 8
1 145 4
1 146 6
1 147 10
1 148 2
1 149 8
1 150 5
1 151 10
1 152 7
1 153 2
1 154 7
1 155 5
1 156 5
1 157 6
1 158 3
1 159 6
1 160 5
1 161 9
1 162 8
1 163 10
1 164 6
1 165 1
1 166 5
1 167 7
1 168 1
1 169 7
1 170 7
1 171 3
1 172 4
1 173 2
1 174 10
1 175 3
1 176 10
1 177 7
1 178 3
1 179 9
1 180 1
1 181 3
1 182 5
1 183 1
1 184 5
1 185 5
1 186 8
1 187 7
1 188 7
1 189 6
1 190 10
1 191 1
1 192 4
1 193 3
1 194 2
1 195 6
1 196 3
1 197 1
1 198 5
1 199 9
1 200 6
1 201 5
1 202 7
1 203 8
1 204 7
1 205 3
1 206 5
1 207 5
1 208 5
1 209 9
1 210 6
1 211 2
1 212 6
1 213 2
1 214 2
1 215 3
1 216 3
1 217 4
1 218 4
1 219 4
1 220 8
1 221 1
1 222 5
1 223 6
1 224 9
1 225 4
1 226 1
1 227 10
1 228 10
1 229 3
1 230 4
1 231 4
1 232 7
1 233 7
1 234 4
1 235 4
1 236 3
1 237 1
1 238 9
1 239 1
1 240 6
1 241 6
1 242 6
1 243 7
1 244 1
1 245 2
1 246 7
1 247 3
1 248 10
1 249 2
1 250 1
1 251 5
1 252 6
1 253 7
1 254 2
1 255 3
1 256 7
1 257 7
1 258 9
1 259 1
1 260 2
1 261 9
1 262 9
1 263 9
1 264 4
1 265 1
1 266 2
1 267 7
1 268 6
1 269 1
1 270 1
1 271 4
1 272 8
1 273 7
1 274 7
1 275 2
1 276 6
1 277 3
1 278 4
1 279 2
1 280 5
1 281 3
1 282 1
1 283 2
1 284 5
1 285 8
1 286 7
1 287 2
1 288 6
1 289 2
1 290 10
1 291 6
1 292 3
1 293 9
1 294 4
1 295 6
1 296 10
1 297 7
1 298 4
1 299 7
1 300 10
2 1 3
2 3 3
2 4 7
2 5 8
2 6 8
2 7 4
2 8 9
2 9 5
2 10 10
2 11 1
2 12 5
2 13 7
2 14 7
2 15 10
2 16 2
2 17 1
2 18 7
2 19 7
2 20 4
2 21 3
2 22 3
2 23 5
2 24 3
2 25 7
2 26 2
2 27 1
2 28 7
2 29 1
2 30 6
2 31 3
2 32 3
2 33 9
2 34 6
2 35 5
2 36 7
2 37 1
2 38 3
2 39 5
2 40 7
2 41 2
2 42 6
2 43 7
2 44 6
2 45 8
2 46 1
2 47 7
2 48 1
2 49 2
2 50 3
2 51 5
2 52 3
2 53 6
2 54 6
2 55 5
2 56 6
2 57 8
2 58 8
2 59 6
2 60 3
2 61 2
2 62 10
2 63 1
2 64 1
2 65 1
2 66 10
2 67 4
2 68 4
2 69 1
2 70 1
2 71 8
2 72 5
2 73 9
2 74 5
2 75 3
2 76 7
2 77 6
2 78 7
2 79 4
2 80 1
2 81 7
2 82 4
2 83 2
2 84 1
2 85 10
2 86 3
2 87 8
2 88 7
2 89 2
2 90 8
2 91 1
2 92 9
2 93 4
2 94 8
2 95 6
2 96 1
2 97 1
2 98 7
2 99 3
2 100 9
2 101 4
2 102 1
2 103 9
2 104 1
2 105 10
2 106 2
2 107 2
2 108 7
2 109 8
2 110 5
2 111 1
2 112 10
2 113 2
2 114 10
2 115 5
2 116 3
2 117 6
2 118 3
2 119 8
2 120 7
2 121 8
2 122 5
2 123 6
2 124 8
2 125 2
2 126 9
2 127 9
2 128 9
2 129 7
2 130 2
2 131 9
2 132 5
2 133 3
2 134 3
2 135 6
2 136 8
2 137 7
2 138 1
2 139 6
2 140 3
2 141 10
2 142 3
2 143 2
2 144 2
2 145 2
2 146 1
2 147 8
2 148 4
2 149 9
2 150 6
2 151 9
2 152 7
2 153 1
2 154 6
2 155 8
2 156 3
2 157 6
2 158 1
2 159 10
2 160 2
2 161 10
2 162 6
2 163 8
2 164 8
2 165 1
2 166 8
2 167 8
2 168 7
2 169 6
2 170 7
2 171 5
2 172 10
2 173 10
2 174 9
2 175 8
2 176 4
2 177 10
2 178 8
2 179 7
2 180 1
2 181 1
2 182 2
2 183 6
2 184 4
2 185 9
2 186 4
2 187 2
2 188 6
2 189 10
2 190 10
2 191 9
2 192 4
2 193 5
2 194 3
2 195 6
2 196 9
2 197 3
2 198 6
2 199 2
2 200 7
2 201 6
2 202 4
2 203 2
2 204 3
2 205 5
2 206 7
2 207 2
2 208 1
2 209 8
2 210 10
2 211 10
2 212 5
2 213 8
2 214 9
2 215 10
2 216 9
2 217 9
2 218 5
2 219 1
2 220 8
2 221 3
2 222 1
2 223 3
2 224 3
2 225 4
2 226 2
2 227 6
2 228 3
2 229 3
2 230 4
2 231 9
2 232 4
2 233 7
2 234 10
2 235 1
2 236 10
2 237 5
2 238 5
2 239 8
2 240 5
2 241 7
2 242 1
2 243 10
