100 9900
1 2 2
1 3 2
1 4 6
1 5 9
1 6 5
1 7 4
1 8 7
1 9 10
1 10 10
1 11 3
1 12 8
1 13 2
1 14 1
1 15 8
1 16 2
1 17 6
1 18 4
1 19 5
1 20 2
1 21 4
1 22 6
1 23 5
1 24 3
1 25 6
1 26 10
1 27 6
1 28 10
1 29 8
1 30 6
1 31 10
1 32 1
1 33 5
1 34 6
1 35 1
1 36 10
1 37 1
1 38 4
1 39 7
1 40 2
1 41 2
1 42 6
1 43 1
1 44 3
1 45 8
1 46 5
1 47 10
1 48 3
1 49 8
1 50 8
1 51 4
1 52 6
1 53 6
1 54 6
1 55 7
1 56 7
1 57 7
1 58 3
1 59 6
1 60 2
1 61 3
1 62 5
1 63 5
1 64 3
1 65 5
1 66 1
1 67 1
1 68 9
1 69 4
1 70 6
1 71 3
1 72 10
1 73 10
1 74 9
1 75 6
1 76 6
1 77 10
1 78 8
1 79 8
1 80 8
1 81 9
1 82 3
1 83 8
1 84 4
1 85 1
1 86 5
1 87 6
1 88 6
1 89 6
1 90 9
1 91 1
1 92 7
1 93 7
1 94 7
1 95 7
1 96 7
1 97 4
1 98 10
1 99 9
1 100 1
2 1 1
2 3 4
2 4 1
2 5 7
2 6 5
2 7 7
2 8 5
2 9 8
2 10 4
2 11 7
2 12 4
2 13 4
2 14 6
2 15 3
2 16 8
2 17 6
2 18 4
2 19 6
2 20 5
2 21 10
2 22 3
2 23 10
2 24 10
2 25 5
2 26 10
2 27 10
2 28 8
2 29 3
2 30 2
2 31 6
2 32 2
2 33 3
2 34 10
2 35 6
2 36 9
2 37 10
2 38 10
2 39 9
2 40 1
2 41 3
2 42 6
2 43 10
2 44 2
2 45 2
2 46 10
2 47 1
2 48 1
2 49 1
2 50 9
2 51 5
2 52 4
2 53 2
2 54 2
2 55 7
2 56 7
2 57 5
2 58 2
2 59 8
2 60 4
2 61 1
2 62 6
2 63 5
2 64 2
2 65 6
2 66 5
2 67 8
2 68 6
2 69 7
2 70 10
2 71 6
2 72 1
2 73 6
2 74 8
2 75 4
2 76 1
2 77 4
2 78 2
2 79 3
2 80 1
2 81 8
2 82 10
2 83 4
2 84 5
2 85 3
2 86 2
2 87 5
2 88 4
2 89 7
2 90 3
2 91 8
2 92 6
2 93 9
2 94 3
2 95 3
2 96 1
2 97 9
2 98 2
2 99 1
2 100 3
3 1 4
3 2 10
3 4 2
3 5 5
3 6 3
3 7 5
3 8 5
3 9 7
3 10 2
3 11 2
3 12 8
3 13 3
3 14 10
3 15 5
3 16 10
3 17 2
3 18 9
3 19 8
3 20 4
3 21 10
3 22 9
3 23 3
3 24 1
3 25 6
3 26 9
3 27 5
3 28 7
3 29 6
3 30 5
3 31 7
3 32 1
3 33 5
3 34 1
3 35 4
3 36 1
3 37 2
3 38 1
3 39 7
3 40 5
3 41 10
3 42 10
3 43 7
3 44 5
3 45 10
3 46 8
3 47 8
3 48 4
3 49 3
3 50 7
3 51 8
3 52 9
3 53 5
3 54 2
3 55 5
3 56 5
3 57 1
3 58 3
3 59 4
3 60 10
3 61 4
3 62 1
3 63 5
